epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5187,0.73623,1.26435,1.15845,0.66985,0.87155,0.7727,0.69018,0.51856,1.33712,1.24688,0.000549352,0.000549352,0.000549352
2,106.984,0.45862,0.54955,1.00052,0.6471,0.8022,0.73708,0.58274,0.48819,1.03155,1.25126,0.000886225,0.000886225,0.000886225
3,163.225,0.44503,0.52144,0.99353,0.73583,0.88548,0.8743,0.71793,0.59133,1.06313,1.24911,0.00100305,0.00100305,0.00100305
4,216.479,0.36229,0.44244,0.96812,0.8961,0.91957,0.96364,0.86577,0.34069,0.49717,1.19975,0.000676802,0.000676802,0.000676802
5,265.77,0.31139,0.38065,0.95238,0.93207,0.90916,0.97811,0.93641,0.29245,0.54832,1.13756,0.000346736,0.000346736,0.000346736
