epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.082,0.574,2.40681,1.1793,0.68994,0.71939,0.78776,0.77708,0.22995,1.25274,1.15953,0.00333041,0.00333041,0.00333041
2,1314.54,0.32894,1.16626,0.98578,0.83406,0.8692,0.92878,0.91164,0.25818,0.86911,1.15154,0.00659778,0.00659778,0.00659778
3,1946.4,0.3842,1.13451,1.00202,0.62754,0.54413,0.59169,0.48584,0.61452,2.03038,1.38969,0.00979914,0.00979914,0.00979914
4,2569.24,0.38496,1.12335,1.00227,0.87497,0.90813,0.96246,0.94572,0.18151,0.61183,1.09922,0.009703,0.009703,0.009703
5,3204.1,0.3276,0.98694,0.976,0.89424,0.9043,0.95659,0.92844,0.18281,0.75429,1.11092,0.009604,0.009604,0.009604
6,3844.51,0.29325,0.88262,0.96407,0.92393,0.92326,0.96861,0.95747,0.14958,0.61215,1.08622,0.009505,0.009505,0.009505
7,4484.42,0.26664,0.82119,0.95198,0.92748,0.93389,0.97912,0.97275,0.11121,0.68708,1.07466,0.009406,0.009406,0.009406
8,5123.03,0.25162,0.77639,0.94927,0.96511,0.96485,0.98733,0.97631,0.23618,0.49263,1.13673,0.009307,0.009307,0.009307
9,5762.05,0.23697,0.74555,0.94352,0.94987,0.94364,0.98326,0.97158,0.12813,0.4308,1.09267,0.009208,0.009208,0.009208
10,6402.23,0.22531,0.71393,0.93886,0.94806,0.97745,0.98882,0.9783,0.11379,0.47227,1.07651,0.009109,0.009109,0.009109
11,7042.73,0.21808,0.68943,0.93943,0.9621,0.98076,0.98899,0.98088,0.12245,0.89357,1.07435,0.00901,0.00901,0.00901
12,7682.11,0.20837,0.65415,0.93433,0.9287,0.95357,0.98251,0.97262,0.13819,0.35161,1.09643,0.008911,0.008911,0.008911
13,8323.4,0.20011,0.63813,0.93186,0.97719,0.97456,0.98983,0.9811,0.11381,0.38652,1.07929,0.008812,0.008812,0.008812
14,8964.44,0.19051,0.62204,0.92781,0.97077,0.97127,0.98876,0.97971,0.10566,0.92038,1.08545,0.008713,0.008713,0.008713
15,9604.5,0.19155,0.60134,0.93105,0.97766,0.97476,0.99187,0.97806,0.14846,0.35846,1.11106,0.008614,0.008614,0.008614
16,10243.7,0.1845,0.58647,0.92697,0.96482,0.98301,0.98896,0.97303,0.13578,0.58114,1.09846,0.008515,0.008515,0.008515
17,10883,0.18054,0.57404,0.92785,0.98333,0.98743,0.99227,0.96219,0.20012,0.36613,1.1575,0.008416,0.008416,0.008416
18,11522.7,0.17444,0.56519,0.92364,0.97366,0.97745,0.99062,0.96254,0.18906,0.42075,1.15959,0.008317,0.008317,0.008317
19,12165.8,0.17338,0.55077,0.92431,0.92026,0.94162,0.96657,0.90882,0.18869,0.74322,1.16603,0.008218,0.008218,0.008218
20,12800.8,0.1668,0.54019,0.92015,0.96896,0.98298,0.99036,0.95638,0.14883,0.48212,1.11414,0.008119,0.008119,0.008119
21,13428.6,0.16538,0.52643,0.9209,0.97965,0.97949,0.99032,0.98264,0.10615,0.56423,1.08987,0.00802,0.00802,0.00802
22,14055,0.1619,0.5145,0.92113,0.98275,0.98258,0.99242,0.97987,0.15058,0.67214,1.13528,0.007921,0.007921,0.007921
23,14680.8,0.15962,0.50205,0.92215,0.98093,0.97952,0.99169,0.97855,0.14067,0.49602,1.11164,0.007822,0.007822,0.007822
24,15307.9,0.15764,0.50413,0.91879,0.98257,0.9776,0.99059,0.97253,0.19925,0.63964,1.19618,0.007723,0.007723,0.007723
25,15934.1,0.15585,0.49434,0.91965,0.96569,0.96576,0.98834,0.9625,0.15122,0.47172,1.12154,0.007624,0.007624,0.007624
26,16561,0.15229,0.4867,0.91688,0.98732,0.98848,0.99354,0.97993,0.11477,0.22659,1.11336,0.007525,0.007525,0.007525
27,17186.9,0.14856,0.47011,0.91392,0.98467,0.98525,0.99334,0.98608,0.12915,0.29208,1.10384,0.007426,0.007426,0.007426
28,17811.1,0.14752,0.46724,0.91636,0.95987,0.98006,0.99071,0.9687,0.15596,0.51787,1.17953,0.007327,0.007327,0.007327
29,18439.5,0.14812,0.46748,0.91589,0.98825,0.98905,0.9932,0.96079,0.31079,0.48339,1.30968,0.007228,0.007228,0.007228
30,19068.2,0.14504,0.45738,0.91429,0.99103,0.98594,0.99346,0.98846,0.15532,0.41122,1.14451,0.007129,0.007129,0.007129
31,19696.4,0.1438,0.45449,0.9151,0.96897,0.98084,0.99073,0.9368,0.20526,0.82567,1.19142,0.00703,0.00703,0.00703
32,20323.9,0.14271,0.44911,0.91262,0.98997,0.98382,0.99222,0.98574,0.18361,0.51077,1.18358,0.006931,0.006931,0.006931
33,20948.8,0.13939,0.44422,0.91152,0.98924,0.98836,0.99335,0.98869,0.12824,0.35959,1.11015,0.006832,0.006832,0.006832
34,21574.6,0.13759,0.4359,0.91185,0.9948,0.9945,0.99389,0.99284,0.08811,0.45138,1.08306,0.006733,0.006733,0.006733
35,22201.9,0.13723,0.42432,0.91141,0.99228,0.99681,0.99384,0.99286,0.10022,0.3891,1.09,0.006634,0.006634,0.006634
36,22827,0.13744,0.42613,0.91356,0.99418,0.99412,0.99459,0.99337,0.07558,0.18111,1.07708,0.006535,0.006535,0.006535
37,23453.2,0.1322,0.41901,0.91028,0.99198,0.99393,0.99467,0.99042,0.12511,0.22172,1.13414,0.006436,0.006436,0.006436
38,24079.9,0.13384,0.41506,0.91108,0.99574,0.98735,0.99444,0.97326,0.21307,0.39916,1.2209,0.006337,0.006337,0.006337
39,24708.1,0.1286,0.40925,0.90829,0.99347,0.98523,0.99364,0.97443,0.1917,0.41196,1.18197,0.006238,0.006238,0.006238
40,25335.4,0.13058,0.41124,0.91134,0.98506,0.98689,0.99292,0.96983,0.17072,0.48837,1.14618,0.006139,0.006139,0.006139
41,25960.8,0.12794,0.40569,0.91,0.98766,0.98832,0.9936,0.97921,0.13656,0.42129,1.12973,0.00604,0.00604,0.00604
42,26587.7,0.1269,0.39702,0.90757,0.98688,0.986,0.9934,0.97554,0.12066,0.3593,1.11571,0.005941,0.005941,0.005941
43,27215.3,0.12504,0.39936,0.90761,0.99072,0.98497,0.99331,0.97138,0.16164,0.44281,1.15524,0.005842,0.005842,0.005842
