epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,583.534,1.01218,3.92551,2.28019,0.77475,0.73885,0.85009,0.73513,0.98272,2.22398,2.72269,0.0033304,0.0033304,0.0033304
2,1137.09,0.72332,1.87924,1.99904,0.50468,0.54379,0.52226,0.40606,1.5166,4.36366,3.06235,0.00659776,0.00659776,0.00659776
3,1686.72,0.807,1.92145,2.02881,0.60277,0.69527,0.69348,0.5474,0.90945,2.65917,2.59066,0.00979913,0.00979913,0.00979913
4,2244.73,0.76601,1.79522,2.02706,0.79678,0.73153,0.80736,0.70852,0.74842,2.05096,2.5691,0.009703,0.009703,0.009703
5,2802.42,0.64812,1.52262,1.97528,0.776,0.76315,0.83957,0.7333,0.66247,1.66968,2.59304,0.009604,0.009604,0.009604
6,3356.38,0.58825,1.36743,1.94822,0.30691,0.41253,0.32858,0.15906,2.33068,6.76247,3.70216,0.009505,0.009505,0.009505
7,3909.56,0.53091,1.26266,1.914,0.76947,0.54048,0.63901,0.34346,1.81773,5.52559,3.74058,0.009406,0.009406,0.009406
8,4462.38,0.5053,1.19045,1.90536,0.82479,0.83796,0.91121,0.65509,1.53104,1.62322,3.20454,0.009307,0.009307,0.009307
9,5018.55,0.47173,1.13277,1.89291,0.46057,0.43718,0.44018,0.23235,1.95097,4.86064,3.49616,0.009208,0.009208,0.009208
10,5578.61,0.44835,1.08848,1.88235,0.67788,0.80419,0.81704,0.62117,0.76563,2.18157,2.70128,0.009109,0.009109,0.009109
11,6139.9,0.42972,1.05021,1.87584,0.70396,0.86354,0.85537,0.38162,2.3064,3.5265,5.13881,0.00901,0.00901,0.00901
12,6694.57,0.41565,1.01795,1.87068,0.76824,0.75836,0.83069,0.48317,1.61141,2.0985,3.45825,0.008911,0.008911,0.008911
13,7248.2,0.40323,0.98437,1.86597,0.38799,0.66364,0.446,0.18298,2.40718,4.44904,3.67924,0.008812,0.008812,0.008812
14,7803.22,0.39395,0.95062,1.86205,0.62834,0.43044,0.48281,0.15359,2.11107,5.75429,3.58372,0.008713,0.008713,0.008713
15,8359.1,0.38474,0.9458,1.85849,0.57041,0.50955,0.49277,0.1871,2.37073,5.60209,3.8417,0.008614,0.008614,0.008614
16,8913.49,0.3743,0.91453,1.8537,0.62196,0.19451,0.33988,0.23734,0.7764,4.20352,2.94396,0.008515,0.008515,0.008515
17,9450.65,0.36226,0.89442,1.85042,0.6703,0.79142,0.78422,0.29248,3.41112,5.07447,4.53709,0.008416,0.008416,0.008416
18,9986.17,0.35042,0.85748,1.84902,0.8776,0.88214,0.92289,0.54294,2.28066,2.72398,4.17226,0.008317,0.008317,0.008317
19,10524.9,0.34637,0.84824,1.84162,0.7659,0.63009,0.71355,0.60832,0.53302,2.37327,2.43652,0.008218,0.008218,0.008218
20,11061.5,0.34458,0.83126,1.84423,0.81663,0.77669,0.8893,0.81362,0.35665,1.70841,2.24936,0.008119,0.008119,0.008119
21,11599.1,0.33766,0.8263,1.83853,0.78536,0.84779,0.89922,0.79392,0.38501,1.84562,2.26712,0.00802,0.00802,0.00802
22,12140.1,0.32969,0.80476,1.83903,0.5867,0.54563,0.61519,0.27417,1.89276,4.11603,3.80747,0.007921,0.007921,0.007921
23,12694.1,0.32807,0.79708,1.84027,0.7659,0.79184,0.83801,0.3004,2.33594,3.68167,4.15164,0.007822,0.007822,0.007822
24,13252.6,0.33032,0.78626,1.8403,0.57391,0.79377,0.70274,0.32607,1.43361,3.95909,2.98059,0.007723,0.007723,0.007723
25,13810.8,0.31851,0.77882,1.8358,0.82476,0.55356,0.7301,0.26107,1.87077,3.81608,3.68656,0.007624,0.007624,0.007624
26,14369,0.31424,0.77623,1.83345,0.82725,0.87989,0.92565,0.51761,2.33703,2.69192,4.18535,0.007525,0.007525,0.007525
27,14931.1,0.31007,0.75964,1.83482,0.69794,0.80655,0.81371,0.23234,3.71886,7.22568,5.28039,0.007426,0.007426,0.007426
28,15489.3,0.30015,0.74292,1.8293,0.75563,0.78649,0.82912,0.42778,2.0552,2.77649,4.08174,0.007327,0.007327,0.007327
29,16050.3,0.30943,0.75099,1.82815,0.74813,0.84437,0.86438,0.71545,0.66969,1.86278,2.51054,0.007228,0.007228,0.007228
30,16609.4,0.29612,0.73376,1.82865,0.65552,0.83256,0.79035,0.29907,2.59252,4.22061,4.15157,0.007129,0.007129,0.007129
31,17180.6,0.2908,0.71383,1.82653,0.77157,0.78084,0.80599,0.35567,3.1293,4.34928,4.1865,0.00703,0.00703,0.00703
32,17752.4,0.28825,0.72113,1.82535,0.7983,0.80389,0.83326,0.37351,2.91801,4.69799,4.3471,0.006931,0.006931,0.006931
33,18326.2,0.28358,0.6948,1.81969,0.5204,0.88851,0.65823,0.21504,3.11667,6.10603,4.26946,0.006832,0.006832,0.006832
34,18899.3,0.28283,0.70078,1.82227,0.44202,0.55359,0.47823,0.11217,4.01205,6.9681,4.98495,0.006733,0.006733,0.006733
35,19472.1,0.27442,0.68148,1.82182,0.47576,0.71908,0.56207,0.17343,3.44875,5.53437,4.82008,0.006634,0.006634,0.006634
36,20049,0.27453,0.68022,1.81988,0.56815,0.69685,0.62257,0.19156,3.53083,5.6833,4.95146,0.006535,0.006535,0.006535
37,20622.3,0.27359,0.67604,1.82073,0.86572,0.83691,0.9152,0.50218,2.47456,3.06896,4.1667,0.006436,0.006436,0.006436
38,21185.5,0.27528,0.66887,1.82162,0.95894,0.92563,0.97974,0.55274,2.41786,2.63631,4.07857,0.006337,0.006337,0.006337
39,21749.7,0.2706,0.66373,1.81819,0.69945,0.7498,0.75942,0.27973,3.10532,3.68373,4.36976,0.006238,0.006238,0.006238
40,22313.8,0.26833,0.64591,1.82181,0.58739,0.63927,0.57073,0.15905,3.42841,4.93775,4.65389,0.006139,0.006139,0.006139
41,22881.6,0.26194,0.64256,1.81703,0.46458,0.55297,0.46905,0.11181,3.82169,5.56793,4.96498,0.00604,0.00604,0.00604
42,23441.3,0.25712,0.61855,1.81344,0.4738,0.65249,0.51939,0.09972,4.05089,6.14607,5.13291,0.005941,0.005941,0.005941
43,24005.7,0.25427,0.62423,1.81184,0.45097,0.68462,0.50165,0.08163,4.24359,7.75531,5.21113,0.005842,0.005842,0.005842
44,24572.1,0.25412,0.62102,1.81327,0.45627,0.8306,0.56102,0.12833,4.0263,8.17935,4.75208,0.005743,0.005743,0.005743
45,25138,0.2533,0.61344,1.81387,0.35813,0.66871,0.38498,0.07668,4.39345,9.21031,4.96283,0.005644,0.005644,0.005644
46,25699.6,0.24758,0.6179,1.80983,0.24645,0.47448,0.22984,0.04877,4.41908,8.84579,5.00482,0.005545,0.005545,0.005545
47,26264,0.24778,0.61543,1.81455,0.24266,0.48357,0.24135,0.05934,4.23782,8.00039,4.85887,0.005446,0.005446,0.005446
48,26827.3,0.24294,0.60066,1.80931,0.2532,0.5058,0.25453,0.06732,4.19774,7.74879,4.82026,0.005347,0.005347,0.005347
49,27390.8,0.24096,0.58944,1.81043,0.28231,0.57807,0.27123,0.06071,4.37864,8.88531,4.85452,0.005248,0.005248,0.005248
50,27956.8,0.2387,0.58878,1.80665,0.29746,0.59742,0.2779,0.05405,4.62806,9.60898,4.9126,0.005149,0.005149,0.005149
51,28521.5,0.23721,0.57879,1.80934,0.27451,0.55744,0.25279,0.05052,4.62818,9.81263,4.97383,0.00505,0.00505,0.00505
52,29085.7,0.23421,0.58593,1.81086,0.28577,0.55849,0.2724,0.05076,4.64174,9.58101,5.02062,0.004951,0.004951,0.004951
53,29645.7,0.23132,0.56116,1.80592,0.32165,0.5939,0.34658,0.06825,4.44151,8.45101,4.99106,0.004852,0.004852,0.004852
54,30210.3,0.23383,0.5671,1.80774,0.36402,0.56113,0.4091,0.08205,4.361,7.82383,5.05491,0.004753,0.004753,0.004753
55,30772,0.22937,0.55976,1.80368,0.44827,0.53481,0.47254,0.09484,4.3459,7.34051,5.13262,0.004654,0.004654,0.004654
56,31338.2,0.22811,0.56171,1.80545,0.47275,0.56434,0.50571,0.09774,4.36273,7.40686,5.18358,0.004555,0.004555,0.004555
57,31899.5,0.22497,0.54872,1.80864,0.4667,0.60615,0.5257,0.10349,4.28415,7.36648,5.12914,0.004456,0.004456,0.004456
58,32457.8,0.22394,0.54225,1.80336,0.49769,0.63286,0.55694,0.10851,4.25335,7.23187,5.15113,0.004357,0.004357,0.004357
59,33014.8,0.21874,0.5295,1.80251,0.52813,0.61704,0.56702,0.11044,4.2197,6.97158,5.1561,0.004258,0.004258,0.004258
60,33573,0.21961,0.53096,1.8001,0.55135,0.62121,0.58518,0.11707,4.15753,6.51598,5.13088,0.004159,0.004159,0.004159
61,34128.1,0.21913,0.54112,1.80328,0.53264,0.5964,0.57185,0.11889,4.12525,6.23696,5.10663,0.00406,0.00406,0.00406
62,34697.9,0.21917,0.5269,1.80313,0.48301,0.59834,0.53751,0.1162,4.08342,6.10024,5.04468,0.003961,0.003961,0.003961
63,35260.1,0.21496,0.5156,1.80256,0.45717,0.5729,0.51115,0.11405,4.07052,5.99971,5.01905,0.003862,0.003862,0.003862
64,35830.2,0.20985,0.50845,1.79888,0.44581,0.56074,0.49951,0.11341,4.07567,5.97626,5.01565,0.003763,0.003763,0.003763
65,36394.6,0.20832,0.5,1.79915,0.44461,0.55724,0.50001,0.11308,4.08928,6.00853,5.03396,0.003664,0.003664,0.003664
66,36954.5,0.20501,0.5103,1.80112,0.44201,0.54732,0.4964,0.11158,4.13079,6.04466,5.07004,0.003565,0.003565,0.003565
67,37514.4,0.2032,0.48858,1.80097,0.42855,0.53415,0.47442,0.10605,4.16312,6.06598,5.09629,0.003466,0.003466,0.003466
68,38078.9,0.20125,0.49014,1.79637,0.39344,0.49176,0.43247,0.0965,4.2213,6.12433,5.13903,0.003367,0.003367,0.003367
69,38644.6,0.20184,0.48661,1.79828,0.36222,0.43919,0.37714,0.08422,4.24488,6.18101,5.14311,0.003268,0.003268,0.003268
70,39203.4,0.19538,0.47095,1.79701,0.29513,0.44388,0.32132,0.07156,4.24002,6.23481,5.10772,0.003169,0.003169,0.003169
71,39763.4,0.19701,0.47321,1.79698,0.29363,0.381,0.28874,0.06332,4.21386,6.3848,5.07211,0.00307,0.00307,0.00307
72,40320,0.19376,0.46331,1.79378,0.2668,0.38623,0.26681,0.05861,4.2042,6.39821,5.05551,0.002971,0.002971,0.002971
73,40878.2,0.19227,0.46272,1.79746,0.27045,0.36872,0.26084,0.05789,4.22156,6.36182,5.0678,0.002872,0.002872,0.002872
74,41433.4,0.18737,0.45682,1.79469,0.26964,0.36979,0.26096,0.05861,4.21933,6.36759,5.06548,0.002773,0.002773,0.002773
75,41989.7,0.18826,0.4615,1.79231,0.2807,0.37044,0.27937,0.06456,4.27016,6.14877,5.117,0.002674,0.002674,0.002674
76,42544.5,0.1857,0.45551,1.79226,0.30365,0.38873,0.31109,0.07386,4.30536,6.00589,5.16137,0.002575,0.002575,0.002575
77,43102.5,0.18308,0.44423,1.79257,0.33459,0.38809,0.33782,0.08083,4.32752,5.93094,5.1804,0.002476,0.002476,0.002476
