Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2610,2610,0.975,0.976,0.989,0.984
A,101,101,0.85,0.941,0.975,0.975
B,116,116,0.991,0.948,0.959,0.948
C,115,115,0.998,1,0.995,0.995
D,107,107,0.998,1,0.995,0.995
E,104,104,0.99,0.959,0.995,0.994
F,115,115,1,0.975,0.995,0.991
G,96,96,0.959,0.927,0.986,0.979
H,112,112,1,0.766,0.955,0.955
I,98,98,0.997,1,0.995,0.995
J,97,97,0.997,1,0.995,0.995
K,110,110,0.996,1,0.995,0.995
L,98,98,0.997,1,0.995,0.995
M,94,94,0.998,1,0.995,0.995
N,89,89,0.997,1,0.995,0.995
O,100,100,0.982,0.99,0.995,0.995
P,106,106,0.94,1,0.992,0.979
Q,100,100,0.842,0.96,0.966,0.946
R,76,76,0.992,1,0.995,0.995
S,106,106,0.997,1,0.995,0.995
T,97,97,0.987,1,0.995,0.995
U,90,90,1,0.991,0.995,0.995
V,92,92,0.979,0.998,0.994,0.983
W,103,103,0.998,0.99,0.995,0.995
X,99,99,0.903,0.949,0.982,0.933
Y,77,77,0.997,1,0.995,0.995
Z,112,112,0.965,0.972,0.993,0.983

