,Precision,Recall,F1-Score,mAP50-95
A,1.0,1.0,1.0,0.995
B,1.0,0.98,0.98891809908999,0.995
C,1.0,1.0,1.0,0.995
D,0.999,1.0,0.9994997498749374,0.995
E,1.0,1.0,0.9994997498749374,0.995
F,1.0,1.0,0.9994997498749374,0.995
G,1.0,1.0,0.9994997498749374,0.995
H,1.0,1.0,1.0,0.995
I,1.0,1.0,0.9994997498749374,0.995
J,0.999,1.0,0.9994997498749374,0.995
K,1.0,1.0,0.9994997498749374,0.995
L,0.999,1.0,0.9994997498749374,0.995
M,1.0,1.0,0.998998998998999,0.995
N,1.0,1.0,1.0,0.995
O,1.0,1.0,0.9994997498749374,0.995
P,1.0,1.0,1.0,0.995
Q,0.999,1.0,0.9994997498749374,0.995
R,0.999,1.0,0.9994997498749374,0.995
S,1.0,1.0,0.998998998998999,0.995
T,1.0,1.0,0.9994997498749374,0.995
U,1.0,1.0,0.9994997498749374,0.995
V,1.0,1.0,0.9994997498749374,0.995
W,1.0,1.0,0.998998998998999,0.995
X,1.0,1.0,1.0,0.995
Y,1.0,1.0,0.9994997498749374,0.995
Z,1.0,1.0,0.9994997498749374,0.995
