Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2600,2600,0.987,0.99,0.992,0.989
A,119,119,0.996,1,0.995,0.995
B,106,106,0.946,0.997,0.995,0.992
C,102,102,0.987,1,0.995,0.993
D,111,111,1,1,0.995,0.995
E,104,104,1,0.926,0.994,0.989
F,95,95,0.966,0.947,0.982,0.934
G,98,98,0.99,0.987,0.994,0.994
H,102,102,0.978,0.961,0.975,0.975
I,118,118,1,0.986,0.995,0.995
J,96,96,0.993,1,0.995,0.994
K,93,93,0.983,1,0.994,0.992
L,92,92,0.995,1,0.995,0.995
M,114,114,0.995,1,0.995,0.995
N,101,101,0.996,1,0.995,0.993
O,102,102,1,0.994,0.995,0.995
P,89,89,0.984,1,0.995,0.993
Q,108,108,0.988,1,0.995,0.995
R,90,90,0.995,1,0.995,0.994
S,82,82,0.996,1,0.995,0.993
T,87,87,0.994,1,0.995,0.993
U,100,100,0.99,0.998,0.995,0.995
V,98,98,0.986,1,0.995,0.995
W,103,103,1,0.99,0.995,0.995
X,92,92,0.958,1,0.995,0.991
Y,109,109,0.979,1,0.995,0.994
Z,89,89,0.976,0.955,0.955,0.955
