Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2598,2598,0.996,0.985,0.995,0.987
A,117,117,0.991,0.983,0.995,0.983
B,98,98,0.978,0.969,0.991,0.956
C,90,90,0.997,1,0.995,0.995
D,109,109,0.999,1,0.995,0.994
E,107,107,1,0.955,0.995,0.987
F,96,96,1,0.919,0.993,0.942
G,98,98,0.994,0.99,0.995,0.994
H,110,110,1,0.98,0.995,0.995
I,95,95,1,0.938,0.995,0.988
J,79,79,0.999,1,0.995,0.989
K,105,105,1,0.987,0.995,0.979
L,99,99,0.997,1,0.995,0.983
M,96,96,1,0.998,0.995,0.991
N,94,94,1,1,0.995,0.994
O,103,103,1,0.992,0.995,0.995
P,94,94,0.997,1,0.995,0.992
Q,107,107,0.982,0.991,0.995,0.994
R,96,96,0.987,0.99,0.995,0.99
S,89,89,1,0.939,0.995,0.986
T,96,96,0.998,1,0.995,0.994
U,95,95,1,0.992,0.995,0.992
V,112,112,0.99,1,0.995,0.995
W,104,104,0.996,1,0.995,0.995
X,107,107,1,1,0.995,0.99
Y,98,98,0.997,1,0.995,0.993
Z,104,104,1,0.979,0.995,0.979
