Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2598,2598,0.98,0.997,0.995,0.994
A,105,105,0.999,1,0.995,0.995
B,97,97,0.999,1,0.995,0.995
C,108,108,0.999,1,0.995,0.995
D,99,99,0.999,1,0.995,0.995
E,106,106,0.997,1,0.995,0.995
F,82,82,1,0.995,0.995,0.995
G,110,110,1,0.95,0.995,0.995
H,95,95,0.998,1,0.995,0.995
I,104,104,0.999,1,0.995,0.995
J,107,107,1,0.983,0.995,0.995
K,94,94,0.999,1,0.995,0.995
L,97,97,0.998,1,0.995,0.981
M,85,85,0.987,1,0.995,0.995
N,121,121,0.999,1,0.995,0.995
O,112,112,0.999,1,0.995,0.995
P,104,104,0.999,1,0.995,0.995
Q,91,91,0.999,1,0.995,0.995
R,92,92,0.54,1,0.987,0.984
S,99,99,0.999,1,0.995,0.995
T,112,112,0.999,1,0.995,0.995
U,97,97,0.999,1,0.995,0.995
V,97,97,0.999,1,0.995,0.995
W,102,102,0.998,1,0.995,0.995
X,90,90,0.999,1,0.995,0.995
Y,98,98,0.989,1,0.995,0.993
Z,94,94,1,0.991,0.995,0.995
