Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,1350,1350,0.998,0.996,0.994,0.994
A,93,93,1,1,0.995,0.995
B,49,49,0.998,0.98,0.984,0.984
C,47,47,1,1,0.995,0.995
D,39,39,0.999,1,0.995,0.995
E,51,51,0.999,1,0.995,0.995
F,44,44,0.999,1,0.995,0.995
G,41,41,0.999,1,0.995,0.995
H,50,50,0.979,1,0.995,0.995
I,67,67,0.999,1,0.995,0.995
J,47,47,0.999,1,0.995,0.992
K,50,50,0.999,1,0.995,0.995
L,51,51,0.999,1,0.995,0.995
M,56,56,0.998,0.946,0.994,0.993
N,49,49,0.999,1,0.995,0.995
O,60,60,0.999,1,0.995,0.995
P,46,46,0.999,1,0.995,0.995
Q,59,59,0.999,1,0.995,0.995
R,51,51,0.999,1,0.995,0.995
S,42,42,0.998,1,0.995,0.995
T,55,55,0.999,1,0.995,0.995
U,53,53,0.999,1,0.995,0.995
V,51,51,0.999,1,0.995,0.995
W,57,57,0.998,1,0.995,0.995
X,44,44,0.995,0.977,0.994,0.994
Y,48,48,0.999,1,0.995,0.995
Z,50,50,0.999,1,0.995,0.995
