,Precision,Recall,F1-Score,mAP50-95
A,0.996,1.0,0.9979959919839679,0.995
B,0.998,1.0,0.998998998998999,0.995
C,0.995,1.0,0.9974937343358395,0.995
D,1.0,1.0,1.0,0.995
E,1.0,1.0,0.9949748743718593,0.995
F,1.0,1.0,0.998998998998999,0.995
G,1.0,1.0,0.9949748743718593,0.995
H,0.998,1.0,0.998998998998999,0.995
I,1.0,1.0,0.998998998998999,0.995
J,0.998,1.0,0.998998998998999,0.995
K,0.998,1.0,0.998998998998999,0.995
L,0.995,1.0,0.9974937343358395,0.995
M,0.998,1.0,0.998998998998999,0.995
N,1.0,1.0,1.0,0.995
O,1.0,1.0,0.998998998998999,0.995
P,1.0,1.0,0.998998998998999,0.995
Q,1.0,1.0,0.99849774661993,0.995
R,1.0,1.0,0.998998998998999,0.995
S,0.998,1.0,0.998998998998999,0.995
T,1.0,1.0,0.9969909729187563,0.995
U,0.996,1.0,0.9979959919839679,0.995
V,0.998,1.0,0.998998998998999,0.995
W,1.0,1.0,0.998998998998999,0.995
X,0.999,1.0,0.9994997498749374,0.995
Y,0.998,1.0,0.998998998998999,0.995
Z,0.999,1.0,0.9994997498749374,0.995
