,Precision,Recall,F1-Score,mAP50-95
A,0.952,0.978,0.9648248704663213,0.975
B,0.991,1.0,0.9748846745258841,0.957
C,0.998,1.0,0.998998998998999,0.995
D,0.998,1.0,0.998998998998999,0.995
E,0.996,0.959,0.9750691952844693,0.994
F,1.0,1.0,0.9904088844018173,0.991
G,0.99,1.0,0.9832231825114387,0.988
H,1.0,0.983,0.9784793050587635,0.993
I,1.0,1.0,0.99849774661993,0.995
J,0.997,1.0,0.99849774661993,0.995
K,0.996,1.0,0.9979959919839679,0.995
L,1.0,1.0,0.99849774661993,0.995
M,0.998,1.0,0.998998998998999,0.995
N,0.997,1.0,0.99849774661993,0.995
O,0.994,1.0,0.9969909729187563,0.995
P,0.97,1.0,0.9816700610997963,0.993
Q,0.946,0.978,0.9617338877338877,0.976
R,1.0,1.0,0.9974937343358395,0.995
S,0.997,1.0,0.99849774661993,0.995
T,1.0,1.0,0.9934574735782586,0.995
U,1.0,1.0,0.9954796584630838,0.995
V,0.979,1.0,0.9884087000505817,0.995
W,0.998,0.99,0.9939839034205231,0.995
X,0.973,0.973,0.9644250907205806,0.967
Y,1.0,1.0,1.0,0.995
Z,0.965,1.0,0.9685404847859721,0.983
