Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2601,2601,0.817,0.773,0.89,0.847
A,100,100,0.973,1,0.985,0.985
B,108,108,0.642,0.87,0.856,0.826
C,100,100,0.418,0.99,0.892,0.874
D,74,74,1,0.752,0.928,0.92
E,110,110,0.827,0.991,0.988,0.967
F,108,108,0.622,0.991,0.954,0.954
G,100,100,0.736,0.99,0.963,0.918
H,106,106,0.709,0.906,0.886,0.847
I,109,109,0.998,0.972,0.995,0.994
J,115,115,0.902,1,0.993,0.993
K,77,77,0.458,0.883,0.871,0.869
L,107,107,0.929,1,0.995,0.981
M,96,96,0.895,0.982,0.991,0.973
N,77,77,0.803,1,0.995,0.991
O,94,94,0.872,0.727,0.858,0.75
P,104,104,0.978,0.432,0.968,0.929
Q,95,95,0.401,0.537,0.455,0.426
R,130,130,1,0.91,0.995,0.995
S,88,88,0.865,0.875,0.929,0.81
T,106,106,0.838,1,0.995,0.995
U,90,90,0.878,0.0805,0.738,0.678
V,118,118,1,0.0203,0.662,0.522
W,101,101,0.908,0.589,0.905,0.834
X,99,99,0.72,0.545,0.73,0.609
Y,90,90,0.866,0.944,0.975,0.877
Z,99,99,1,0.12,0.634,0.496
