Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2598,2598,0.997,0.997,0.995,0.995
A,97,97,0.989,1,0.993,0.993
B,98,98,0.998,1,0.995,0.995
C,111,111,0.989,1,0.995,0.993
D,109,109,0.98,1,0.995,0.995
E,99,99,1,0.989,0.995,0.995
F,82,82,0.998,1,0.995,0.995
G,117,117,1,0.944,0.995,0.995
H,107,107,0.998,1,0.995,0.995
I,93,93,0.998,1,0.995,0.995
J,91,91,0.998,1,0.995,0.995
K,86,86,0.998,1,0.995,0.995
L,118,118,0.992,1,0.995,0.995
M,112,112,0.998,1,0.995,0.995
N,109,109,1,1,0.995,0.995
O,96,96,0.998,1,0.995,0.995
P,85,85,0.998,1,0.995,0.995
Q,84,84,1,0.997,0.995,0.995
R,109,109,0.998,1,0.995,0.995
S,84,84,0.998,1,0.995,0.995
T,109,109,1,0.993,0.995,0.995
U,87,87,0.996,1,0.995,0.995
V,103,103,0.998,1,0.995,0.995
W,105,105,0.998,1,0.995,0.995
X,110,110,0.999,1,0.995,0.995
Y,111,111,0.998,1,0.995,0.995
Z,86,86,0.999,1,0.995,0.995
