Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2600,2600,0.861,0.816,0.901,0.869
A,109,109,0.887,0.963,0.981,0.972
B,91,91,0.958,0.743,0.85,0.831
C,105,105,0.965,0.791,0.969,0.961
D,111,111,0.702,0.604,0.724,0.633
E,92,92,0.964,0.891,0.949,0.935
F,100,100,0.7,0.537,0.695,0.639
G,106,106,0.99,0.906,0.992,0.988
H,98,98,0.869,0.877,0.899,0.888
I,92,92,0.687,0.848,0.869,0.835
J,104,104,0.873,0.731,0.906,0.824
K,88,88,0.802,0.898,0.891,0.866
L,100,100,0.823,0.465,0.683,0.495
M,114,114,0.933,0.544,0.856,0.834
N,123,123,0.935,0.764,0.926,0.91
O,109,109,0.883,0.963,0.981,0.981
P,88,88,0.97,0.737,0.918,0.848
Q,97,97,0.714,0.948,0.928,0.907
R,94,94,0.975,0.829,0.947,0.946
S,94,94,0.887,0.872,0.939,0.909
T,99,99,0.671,0.869,0.838,0.767
U,93,93,0.708,0.914,0.922,0.916
V,97,97,0.843,0.845,0.926,0.907
W,106,106,0.948,0.83,0.975,0.973
X,85,85,0.842,0.953,0.949,0.946
Y,107,107,0.974,0.944,0.972,0.969
Z,98,98,0.885,0.939,0.935,0.905
